??,<size=32>으릉!</size>
지휘관,"응, 슈퍼 디너게이트랑 같이 놀면 시간도 보내고 몸도 좀 움직일 수 있겠네."
파파샤,"좋네요, 헤헤."
파파샤,"아, 이것도 꼭 기억해야겠어요. 지휘관님이 심심할 때 스킨십을 제공하거나 함께 논다. 좋아! 이건 파파샤도 할 수 있겠네요!"
파파샤,"보니까 아직 배워야 할 지식이 많네요... 지휘관님이 제시한 두 가지 상황이 가장 흔한 것들이니, 오늘 시뮬레이션한 방향으로 계속 공부해 나가야겠어요."
파파샤,"지휘관님, 도와주셔서 감사해요!"
지휘관,천만에.
지휘관,그런데 아까부터 궁금했어. 선물로 받은 슈퍼 디너게이트를 왜 직접 데리고 있지 않고 다른 사람과 공유하려는 거야?
파파샤,"그건, 말씀드리기 좀 민망한데..."
파파샤,"제가 항상 모두를 지키고 싶다고 말은 하지만, 구식 모델이라 작전할 때는 전혀 도움이 안 되잖아요... 하지만 작전이 아니더라도 모두를 지킬 수 있는 방법은 분명 있을 거예요."
파파샤,"그래서 평소에 생활하면서 더 많이 배려하고, 사람들의 소원을 이루어줄 수 있다고 생각해요. 모두를 기쁘게 하는 것도 일종의 보호가 아닐까요?"
파파샤,그러고 보니 지휘관님의 소원은 뭘까요? 저에게 가장 중요한 사람이니까... 꼭 소원을 이루어드리고 싶어요!
지휘관,"으음, 갑자기 물어보니까 생각이 안 나네..."
지휘관,우선 그 마음만 받을게. 나중에 생각나면 꼭 말해줄테니까.
파파샤,그럼 나중에 꼭 알려주세요!
