마키아토,다 해치웠나?
순찰대원,어떤 임무입니까?
카리나,기밀 사항입니다.
나레이션,"(강경한 태도를 취하는 카리나를, 치안관리국 대원들도 함부로 대할 수가 없었다. 대원은 신분증을 받아 훑어본 뒤 대장 같은 사람에게 넘겼고, 그 사람은 멀리 걸어가서 어렴풋이 보이는 인물에게 전달했다.)"
나레이션,"(그 인물이 조금씩 보이기 시작하자, 카리나는 신경을 한껏 곤두세웠다.)"
나레이션,"(카리나의 앞에 나타난 것은 인간이 아니라, 정성스럽게 차려입은 3세대 인형이었다.)"
나레이션,"(몸에 걸친 정장은 완벽한 솜씨로 재단되어 있었고, 몸짓 하나하나에서 우아하고 여유로운 기품이 느껴졌다. 마치 귀족 저택에서 훈련받은 엘리트 집사와도 같은 느낌이었다.)"
나레이션,(그녀는 미소를 지으면서 카리나의 신분증을 예의바르게 훑어보기 시작했다. 손가락을 부드럽게 펼치는 그 동작마저 아주 우아했다.)
나레이션,"(그녀는 고개를 들어 온화하고 정중한 미소를 보냈지만, 거기 실린 눈빛은 마치 오래된 저택의 정교하지만 항상 불안감을 주는 그런 도자기 같았다.)"
나레이션,"(겉보기에는 매끄럽고 완벽해 보여도, 내면에는 오싹한 무언가가 숨어 있는 그런 눈빛이었다.)"
??,비정규무력관리국의 참사관님이셨군요. 몰라뵙고 무례를 범하게 되어 정말 죄송합니다.
카리나,일처리도 빠르신데 예의까지 바르시군요.
??,"효율성과 우아함은 본래 상호보완적인 미덕이죠. 새로운 세대의 의전 기준으로서, 저희는 항상 이 둘을 완벽하게 융합하여 가장 세심한 서비스를 제공하기 위해 노력하고 있습니다."
나레이션,"(상대방의 목소리는 깊으면서 부드럽고, 어조는 우아하고 공손했다. 그러나 이렇게 완벽에 가까운 예의 속에서 오히려 저항하기 힘든 위엄이 새어 나오고 있었다.)"
카리나,치안부서에 당신 같은 고급 인형이 있을 리는 없을 텐데요?
??,안목이 뛰어나시군요. 저는 치안부서 소속이 아니라 협력을 위해 파견된 인원입니다.
나레이션,(인형은 카리나에게 부드럽게 고개를 숙이며 인사했다.)
??,소개가 늦은 점 양해 부탁드립니다.
이글라,"저는 지라드 그룹 소속, 르비우 및 주변 지역의 안전 업무를 담당하는 특별 대표, '이글라'라고 합니다."
이글라,이 구역에서 수상한 움직임이 있다는 보고를 받고 왔습니다.
이글라,지라드 그룹이 르비우 인근의 안전 보장 업무를 맡고 있다는 것은 알고 계시겠죠. 그래서 치안관리국의 지원 요청을 무시할 수 없었습니다.
이글라,"또한, 근일 내로 중요한 서밋이 개최된다는 점을 고려하여, 제가 직접 이렇게 상황을 보러 왔습니다."
이글라,대강 살펴본 바론... 여기서 상당히 치열한 충돌이 있었던 모양이군요.
이글라,"가능하면 목격하신 정보를 공유해 주시면 감사하겠습니다. 참사관님도 저도, 이 도시의 평화를 지키는 것이 목적이니까요."
나레이션,"(이글라의 시선은 순간 부드러우면서도 예리하게 카리나에게 머물렀으나, 곧 아무렇지 않게 뒤쪽 구석을 훑고 지나갔다. 그 무심한 듯한 눈짓은 마치 모든 것을 꿰뚫어 볼 수 있는 듯했다.)"
나레이션,"(여전히 변함없는 미소와 정중한 태도에, 알 수 없는 압박감이 느껴졌다.)"
카리나,"보시다시피, 저희는 임무 수행 도중 갑작스럽게 정체를 알 수 없는 기계들의 공격을 받았습니다. 다행히 함께 있던 저희 직원들이 적을 저지했죠."
이글라,참으로 안타까운 사고로군요.
나레이션,"(이글라는 우아하게 살짝 몸을 숙여, 마치 자신과 무관한 불상사에 대신 사과하는 듯한 태도를 취했다.)"
나레이션,"(그녀의 표정은 여전히 흠잡을 곳 없이 친절했지만, 눈동자 깊은 곳에서는 마치 먹잇감을 노리는 맹수 같은 섬뜩한 기운이 느껴졌다.)"
이글라,아무래도... 흥미로운 우연의 일치에 주목하지 않을 수 없군요. 이 공격은 상당히 명확한 목표가 있는 것 같습니다.
나레이션,(이글라는 한 곳을 노려보았다. 바로 숨겨둔 상자가 있는 방향이었다.)
이글라,"관리국의 안전담당관이시니, 위성 도시 내에서의 총격 사건이 얼마나 심각한 일인지 잘 알고 계시겠죠."
이글라,"그리고 발포보다 더 심각한 것은, 안전을 위협할 수 있는 위험 물품이 밀반입되었다는 사실입니다."
카리나,......
이글라,"대단히 실례입니다만, 제 직책상 부득이하게 여러분을 조사해야 할 것 같군요. 함께 가주시면 감사하겠습니다."
이글라,"또한, 이 구역에 존재할지도 모를 위험 물품에 대해서도 철저한 점검이 필요합니다. 혹시 다른 의견 있으십니까?"
카리나,"귀측은 저희를 조사할 권한이 없고, 이 지역을 점검할 권한도 없습니다. 관리국의 업무는 아직 끝나지 않았습니다."
카리나,이 정도면 충분히 이해하셨겠죠? 그만 돌아가 주세요.
이글라,"아무래도 그건 어려울 것 같습니다. 저는 용인해 드린다 하더라도, 치안관리국이 관할 구역에서 불법 행위가 자행될 가능성을 좌시할 순 없겠죠."
이글라,"소속 부처는 다르지만, 부디 도시의 안전을 위하여 저희 수사에 협조해 주시기 바랍니다. 불필요한 손실은 가급적 피하고 싶군요."
카리나,규정상 현지 치안부서는 관리국의 참사관을 단속할 권한이 없습니다. 하물며 외주 인력인 당신은 말할 것도 없고요.
카리나,"그렇게 권력을 휘두르고 싶으시다면, 르비우 수석님께 수사 영장을 발부받으시기 바랍니다. 그렇게만 하시면 무조건적으로 즉시 협조해 드리죠."
이글라,"죄송합니다만, 이런 비협조적인 태도는 사태 해결에 전혀 도움이 되지 않습니다."
나레이션,"(이글라가 손을 들자, 주변에 있던 무장 인원들이 총구를 들었다.)"
나레이션,(인형들도 바로 총을 들어 대응했다.)
이글라,"호오, 정말 놀랍군요."
나레이션,"(이글라가 리바를 바라보자, 리바는 미소를 지으며 총구를 그녀를 향해 겨누었다.)"
리바,"3세대 인형이라 해서, 관리국 인형을 완전히 압도할 수 있을 거라 생각하는 건 아니지?"
이글라,"무슨 말씀이신지, 이해가 되지 않는군요."
리바,너 유머 감각이 좀 있다~?
나레이션,(미소 짓는 두 인형의 눈동자 속에서 무수한 빛줄기가 스쳐 지나갔다.)
나레이션,"(리바의 레벨 2 플랫폼에서, 코앞에 있는 신호원이 그녀의 마인드맵에 강제로 연결을 시도하고 있었다.)"
나레이션,"(방대한 데이터가 리바의 능동 방화벽과 격렬하게 충돌하고, 신호원이 그녀의 여러 포트를 빠르고 집중적으로 공격하고 있었다. 하지만 방금 전의 인증키 덕분에 리바는 완벽한 해독 알고리즘을 손에 넣은 상태였고, 마인드맵의 연산력 범위 내에서 그 치명적인 바이러스를 처리할 수 있었다.)"
이글라,…………
리바,"섣불리 안 날뛰는 게 좋을 텐데, 특별 대표 씨~?"
리바,"일단 너한테 승산이 없는 건 둘째 치고, 혹시 우리 참사관님께 무슨 일이라도 생기면, 지라드 그룹은 콩비지처럼 쪽쪽 짜여서 비료 신세가 될걸? 그래도 괜찮겠어?"
나레이션,"(이글라는 살짝 눈살을 찌푸렸지만, 이내 처음과 같은 미소로 돌아가 리바에게 대답했다.)"
이글라,농담도 잘하시는군요. 그런 경솔한 짓을 할 리가 있겠습니까.
이글라,"그래도, 한 가지는 확실히 옳은 말씀이군요. 참사관님께선 몸조심하셔야지요. 혹여나 탈이라도 나시면 저희가 책임질 수도 없으니까요."
나레이션,"(이글라가 카리나를 의미심장한 눈빛으로 바라보자, 리바의 시선도 그곳을 향했다.)"
나레이션,(총으로 이글라를 겨누고 있던 카리나는 갑자기 가슴에 격렬한 일렁임을 느꼈다. 그리고는 참을 새도 없이 연거푸 기침을 뱉었다.)
나레이션,"(카리나는 급히 손으로 코와 입을 가렸지만, 기침을 하며 쏟아진 피가 손바닥을 타고 바닥에 툭툭 소리를 내며 떨어졌다.)"
카리나,！！！
이글라,"이런 이런... 참사관님, 혹시 급성 붕괴방사선 증후군 아니십니까?"
이글라,"제때 치료를 받지 않으시면, 회복할 수 없는 후유증이 남을 겁니다."
리바,......!!
나레이션,(카리나는 힘이 빠져 무릎을 꿇고 주저앉았다. 그녀는 바로 손을 들어 아직 견딜 수 있음을 뒤에 있는 인형들에게 알렸다.)
카리나,"걱정하지 마세요, 면역력은 강한 편이니까..."
나레이션,"(카리나는 무릎을 짚고 간신히 일어나서, 입가에 묻은 피를 닦으며 총을 들고 이글라와 대치했다.)"
카리나,"미안하지만, 저는 여기서 죽어도 떠날 생각 없어요."
나레이션,"(이글라는 자신감 있는 미소를 드러내더니, 총을 내려놓으라고 신호를 보냈다.)"
이글라,"그럼, 잠시만 더 기다려 드리죠."
리바,칫...
나레이션,"(리바는 지금 당장 미소를 짓고 있는 이글라의 얼굴에 총알을 박아버리고 싶은 충동을 억누르며, 빠르게 현장의 모든 적을 처리할 방법을 생각하고 있었다.)"
나레이션,"(상대는 아주 교활하게도 인간 대원들을 데려왔고, 그들 모두 머리를 완전히 덮는 헬멧을 쓰고 있었다. 공기 중에 무엇을 뿌렸는지도 알 수 없는 노릇이었다.)"
나레이션,"(당장 앞에 있는 이글라. 녀석의 전자전 공격을 막아내는 것만으로도 이미 벅찼는데, 거꾸로 상대를 마비시키는 것은 불가능이나 다름없었다.)"
나레이션,(상대의 배치를 보아하니 관리국의 증원 병력에도 당연히 대비가 돼 있을 것이다. 증원이 15분 안에 도착할 확률은 복권 1등에 당첨되길 비는 수준이었다.)
나레이션,(그리고 카리나를 그냥 내버려둘 수 있는 상황도 아니었다. 원래부터 붕괴방사능병의 후유증을 앓고 있는 그녀를 이대로 두면 목숨이 위험할 것이다.)
카리나,…………
이글라,…………
리바,…………
나레이션,콰앙!
나레이션,"(리바의 마인드맵이 팽팽 돌아가는 사이, 갑자기 창고 안쪽에서 커다란 폭발음이 들려왔다.)"
나레이션,(인형들은 거의 동시에 같은 위치를 바라보았다. 상자가 놓여있던 그곳에는 연기가 자욱하게 퍼져 있었다.)
이글라,...아무래도 진짜 손님이 오신 모양이군요.
나레이션,"(이글라는 일말의 주저 없이, 방금 전까지 대치하고 있던 인형들을 그냥 내버려두고 폭발이 일어난 곳으로 달려갔다.)"
나레이션,"(카리나가 따라가려 했지만, 다리에 힘이 풀렸는지 그대로 바닥에 쓰러졌다.)"
리바,카린!
나레이션,(리바는 카리나에게 달려가 부축하려고 했다.)
나레이션,(하지만 카리나는 리바의 도움을 거부하고 명령을 내렸다.)
카리나,전 신경 쓰지 말고! 빨리 쫓아가세요!
리바,칫...!
나레이션,"(리바는 제자리에 버려진 치안부서 인원들을 쏘아보고, 그들을 향해 고함을 질렀다.)"
리바,뭘 가만히 보고 있어! 구급차 불러!
리바,"참사관님께 문제라도 생기면, 너네 인생도 그날로 종 치는 줄 알아!"
순찰대원,아... 알겠습니다!
나레이션,(치안부서 대원들도 갑작스러운 폭발과 이글라의 이탈로 혼란에 빠진 모양이었다. 그들의 대장은 허둥지둥 무전기로 의료 지원을 요청했다.)
리바,"레나, 카린을 병원으로 데려가!"
리바,"점장, 같이 카린을 지켜줘!"
레나,알았어!
스프링필드,여긴 저희한테 맡기세요!
나레이션,"(리바는 인형들의 대답을 듣고, 카리나를 마지막으로 본 뒤 폭발이 일어난 방향으로 곧장 달려갔다.)"
