마키아토,적들은 다 처리했나?
??,"효율과 우아함은 본래 서로를 보완하는 미덕입니다. 차세대 예절의 기준으로, 저희는 항상 두 가지를 완벽하게 융합하여 가장 세심한 서비스를 제공하고자 노력합니다."
나레이션,"(상대방의 목소리는 깊고 부드러웠으며, 말투는 우아하고 예의 발랐다. 하지만 이 거의 완벽에 가까운 예의는 오히려 거부할 수 없는 위엄을 드러냈다.)"
카리나,치안 부서에 너 같은 고급 인형은 없을 텐데?
??,"정말 안목이 뛰어나시군요. 저는 확실히 치안부 소속 인형이 아니라, 지원을 나온 것입니다."
나레이션,(인형은 가볍게 카리나에게 고개를 숙여 인사했다.)
??,제 소개를 올리겠습니다—
이그라,"저는 지라드 그룹에서 르비우 및 주변 지역의 보안 업무를 담당하는 특별 대표, '이그라'라고 부르시면 됩니다."
이그라,방금 이 구역에서 약간의 심상치 않은 움직임이 있었다는 통보를 받았습니다.
이그라,지라드 그룹 역시 르비우 주변 도시의 안전 경비 업무를 맡고 있다는 것을 아실 겁니다. 그래서 치안 부서의 지원 요청을 저희가 외면할 수는 없었습니다.
이그라,"또한, 곧 열릴 정상회담으로 인해 르비우에 더 높은 수준의 요구사항이 제시된 만큼, 제가 직접 팀을 이끌고 상황을 확인하러 올 수밖에 없었습니다."
이그라,"저희의 초기 관찰에 따르면, 이곳에서 꽤… 격렬한 충돌이 있었던 것 같습니다."
이그라,"혹시 목격하신 상황을 좀 공유해 주실 수 있겠습니까? 어쨌든, 이 도시의 평화를 지키는 것은 우리 모두의 바람이니까요."
나레이션,"(이그라의 시선은 온화하고 집중적으로 카리나에게 머물렀고, 무심코 등 뒤의 구석을 훑어보았다. 무심한 듯한 그 눈길은 마치 모든 것을 꿰뚫어 보는 듯했다.)"
나레이션,(그녀의 미소는 한결같았다. 정중하면서도 보이지 않는 압박감을 주었다.)
카리나,"보시다시피, 비정규무력관리국은 관련 임무를 수행 중이었고, 갑자기 정체불명의 기계체에게 습격당했습니다. 하지만 다행히 저희 외근 인원들이 적을 격퇴했습니다."
이그라,정말 안타까운 사고로군요.
나레이션,"(이그라는 우아하게 살짝 허리를 숙여, 마치 자신이 일으킨 불편이 아닌데도 사과하는 듯 정중한 사죄의 자세를 취했다.)"
나레이션,"(그녀의 표정은 시종일관 완벽하게 다정했지만, 눈 깊은 곳에서 스치는 집중력만큼은 먹이를 노리는 맹수처럼 오싹하게 만들었다.)"
이그라,"이 문제를 자세히 생각해보니, 흥미로운 우연의 일치를 발견하지 않을 수 없군요. 이 습격은 꽤 명확한 목표 지향성을 띠고 있는 것 같습니다."
나레이션,(이그라는 한 곳을 바라보았다. 그곳은 바로 깊숙이 숨겨진 상자가 있는 곳이었다.)
이그라,비정규무력관리국의 보안 책임관이신 귀하께서 위성도시 내에서 총을 쏘는 것이 얼마나 심각한 일인지 아시겠지요?
이그라,"그리고 총을 쏘는 것보다 더 심각한 것은, 지역 안보를 위협할 수 있는 위험물이 도시 중심부로 몰래 들어왔다는 점입니다."
카리나,......
이그라,"이렇게 말씀드리면 불쾌하시겠지만, 제 직무상 귀하와 부하분들에 대해 조사를 해야만 합니다. 저희와 함께 가주시죠."
이그라,"또한, 이 구역에 존재할 수 있는 위험 물품에 대해서도 철저히 검사할 필요가 있습니다. 괜찮으시겠지요?"
카리나,"너는 우리를 조사할 권한도, 이 구역을 검사할 권한도 없다. 비정규무력관리국의 임무는 아직 진행 중이다."
카리나,"우리가 임무 수행 중이라는 것을 알았다면, 즉시 여기서 떠나라."
이그라,"그건 좀 곤란하겠군요. 설령 제가 그러고 싶다 해도, 치안 부서의 법 집행관들이 자신들의 관할 구역에서 일어날 수 있는 불법 행위를 보고만 있지는 않을 테니까요."
이그라,"저희가 부서는 다르지만, 도시의 안전을 위해 상응하는 절차와 규칙을 준수하여 저희의 법 집행에 협조해 주시어, 불필요한 손실을 피해주시기 바랍니다."
카리나,"절차상으로, 현지 치안 부서는 비정규무력관리국 참사에 대해 법을 집행할 자격이 없고, 너 같은 외주 보안업체는 더더욱 자격이 없다."
카리나,"네가 정말 그렇게 감투 욕심이 있다면, 르비우의 수석을 통해 조사 신청서를 내게 보내라. 그럼 즉시 무조건 너희에게 협조하겠다."
이그라,"솔직히 말씀드리자면, 귀하의 이런 대립적인 사고방식은 아무런 이득도 되지 않습니다."
나레이션,"(이그라가 손을 들자, 주위의 치안 부서 무장 인원들이 즉시 총을 들어 올렸다.)"
나레이션,(그러자 인형들 역시 즉시 총을 들어 맞대응했다.)
이그라,"어머나, 이거 정말 놀랍군요."
나레이션,"(이그라는 리바에게 시선을 돌렸고, 리바 역시 미소를 지으며 그녀에게 총구를 겨누었다.)"
리바,네가 3세대 인형이라고 해서 비정규무력관리국의 인형을 완전히 제압할 수 있을 만큼 강하다고 생각하는 건 아니겠지?
이그라,무슨 뜻인지 잘 모르겠습니다.
리바,농담도 잘하시네요~
나레이션,"(두 사람의 미소 아래, 양쪽의 눈에서는 수많은 빛줄기가 스쳐 지나갔다.)"
나레이션,"(리바의 레벨 2 플랫폼에서는, 바로 근처의 신호원이 그녀의 마인드맵에 강제로 연결을 시도하고 있었다.)"
나레이션,"(방대한 양의 데이터가 리바의 공격형 방벽과 격렬하게 충돌하고 있었고, 신호원은 고속으로 빽빽하게 그녀의 모든 포트를 공격했다. 하지만 방금 전의 암호키는 리바에게 완전한 해독 논리를 제공했고, 그녀는 마인드맵 연산 능력 범위 내에서 그 치명적인 바이러스들을 무력화시킬 수 있었다.)"
이그라,............
리바,이 보안 문제 특별 대표님께 경거망동하지 마시라고 충고하고 싶네요~
리바,"당신이 먼저 손을 대도 우리가 당신들을 해치울 수 있다는 건 말할 것도 없고, 만약 참사님께 무슨 일이라도 생기면, 지라드 그룹은 아마 땅을 갈아엎어 내년 거름으로나 쓰이게 될 텐데, 정말 괜찮겠어요?"
나레이션,"(이그라는 살짝 미간을 찌푸렸다가, 이내 처음의 미소를 되찾고 리바를 향해 말했다.)"
이그라,농담이 과하시군요. 저희가 어찌 경거망동하겠습니까.
이그라,하지만 한 가지는 제대로 짚어주셨군요. 참사님께서는 확실히 몸조심하셔야 합니다. 혹시라도 무슨 일이 생기면 저희가 책임질 수 없으니까요.
나레이션,"(이그라는 의미심장하게 카리나를 쳐다보았고, 리바의 시선도 그쪽으로 끌렸다.)"
나레이션,"(카리나는 이그라에게 총을 겨누고 있었지만, 갑자기 가슴이 들썩이며 몇 번 기침을 하더니, 이내 걷잡을 수 없는 격렬한 기침이 터져 나왔다.)"
나레이션,"(카리나는 손으로 입과 코를 막았지만, 기침과 함께 터져 나온 피가 손바닥을 뚫고 바닥으로 떨어졌다.)"
카리나,!!!
이그라,"어머나, 참사님께서 급성 방사선병에라도 걸리신 걸까요?"
이그라,"빨리 치료받지 않으시면, 몸에 돌이킬 수 없는 영향을 줄지도 모르는데요."
리바,――!
나레이션,"(카리나는 힘이 빠져 반쯤 무릎을 꿇은 채, 즉시 손을 들어 아직 버틸 수 있다는 신호를 보냈다.)"
카리나,"괜찮아, 내성은 강하니까…"
나레이션,"(카리나는 무릎을 짚고 힘겹게 일어서서, 입가의 피를 닦아내고 이그라를 향해 총을 겨누었다.)"
카리나,난 여기서 죽는 한이 있어도 떠나지 않을 거야.
나레이션,"(이그라는 처음에 보였던 자신감 있는 미소를 지으며, 가볍게 허리를 숙이고 다른 무장 인원들에게 총을 내리라고 손짓했다.)"
이그라,그럼 저희는 좀 더 기다려보죠.
리바,칫...
나레이션,"(리바는 지금 당장이라도 '이그라'라는 녀석의 얼굴에 총을 쏘고 싶은 충동을 억누르며, 현장의 모든 적을 최대한 빨리 처리할 방법을 빠르게 계산하고 있었다.)"
나레이션,"(상대방은 매우 교활하게도 인간 무장 인력을 투입했고, 게다가 전면을 가리는 헬멧을 쓰고 있어서, 공기 중에 무엇이 살포되었는지 알 수 없었다.)"
나레이션,"(그리고 눈앞의 이 이그라는, 그녀의 전자 공격을 막아내는 것만으로도 벅찼기에, 전자전으로 그녀를 마비시키는 것은 거의 불가능했다.)"
나레이션,"(상대방의 배치로 보아, 비정규무력관리국의 증원군에 대비하지 않았을 리가 없다. 15분 안에 이곳에 도착하는 것은 복권 당첨에 버금가는 일이었다.)"
나레이션,"(그리고 카리나의 상태는 더 이상 지체할 수 없었다. 그녀는 원래 방사선병의 병력이 있었고, 이대로 가다가는 목숨조차 보장할 수 없었다.)"
카리나,............
이그라,............
리바,............
나레이션,(콰앙!)
나레이션,"(리바의 마인드맵이 빠르게 회전하는 순간, 갑자기 창고 깊숙한 곳에서 거대한 폭발음이 들려왔다.)"
나레이션,(인형들은 거의 동시에 같은 곳을 바라보았다—상자가 놓여 있고 지금은 연기가 자욱한 그곳을.)
이그라,…아무래도 진짜 손님이 온 모양이군.
나레이션,"(이그라는 거의 망설임 없이, 방금 전까지 대치하던 인형들을 내버려두고 즉시 폭발이 일어난 곳으로 달려갔다.)"
나레이션,"(그리고 카리나도 뒤따르려 했지만, 다리에 힘이 풀려 바닥에 쓰러졌다.)"
리바,카리나!
나레이션,(리바는 즉시 카리나 앞으로 달려가 그녀를 부축하려 했다.)
나레이션,"(카리나는 그녀의 부축을 뿌리치고, 그녀에게 명령을 내렸다.)"
카리나,나 신경 쓰지 마! 어서 쫓아가!
리바,칫...!
나레이션,"(리바는 이그라에게 버려진 치안 부서 인원들을 쳐다보고, 그들을 향해 소리쳤다.)"
리바,당장 구급차 불러!
리바,참사님께 무슨 일 생기면 너희들 하나도 도망 못 갈 줄 알아!
치안 부문 인원,"어… 어, 알겠습니다!"
나레이션,"(치안 부서 사람들도 갑작스러운 폭발과 이그라의 이탈로 혼란에 빠졌고, 선두에 있던 대장은 무전기로 의료 지원을 요청하기 시작했다.)"
리바,"레나, 네가 카리나를 병원으로 데려가!"
리바,"점장님, 카리나를 보호해 주세요!"
레나,네!
스프링필드,"우리에게 맡기고, 어서 가!"
나레이션,"(인형들의 대답을 듣고, 리바는 마지막으로 카리나를 한번 쳐다본 뒤, 폭발이 일어난 방향으로 쫓아갔다.)"
